Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
AfD,Ziegler,Kay-Uwe,1963,Wahlkreis,Anhalt,TRUE,ZieglerK1963
CDU,Ziemiak,Paul,1985,Wahlkreis,Märkischer Kreis II,TRUE,ZiemiakP1985
SPD,Zierke,Stefan,1970,Wahlkreis,Uckermark – Barnim I,TRUE,ZierkeS1970
SPD,Zimmermann,Jens,1981,Wahlkreis,Odenwald,TRUE,ZimmermannJ1981
CDU,Zippelius,Nicolas Benjamin,1987,Wahlkreis,Karlsruhe-Land,TRUE,ZippeliusN1987
SPD,Zorn,Armand,1988,Wahlkreis,Frankfurt am Main I,TRUE,ZornA1988
SPD,Zschau,Katrin,1976,Wahlkreis,Rostock – Landkreis Rostock II,TRUE,ZschauK1976
GRÜNE,Özdemir,Cem,1965,Wahlkreis,Stuttgart I,TRUE,ÖzdemirC1965
SPD,Özdemir,Mahmut,1987,Wahlkreis,Duisburg II,TRUE,ÖzdemirM1987
SPD,Özoğuz,Saliha Aydan,1967,Wahlkreis,Hamburg-Wandsbek,TRUE,ÖzoğuzS1967
