Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
201,"Klöckner, Julia",CDU,NA,Rheinland-Pfalz,1,Liste
211,"Dr. Gebhart, Thomas",CDU,NA,Rheinland-Pfalz,3,Liste
286,"Frei, Thorsten",CDU,364,Baden-Württemberg,NA,Direkt
276,"Warken, Nina Ingrid",CDU,358,Baden-Württemberg,NA,Direkt
292,"Rief, Josef",CDU,351,Baden-Württemberg,NA,Direkt
284,"Dr. Schäuble, Wolfgang (verstorben)",CDU,349,Baden-Württemberg,NA,Direkt
287,"Jung, Andreas",CDU,341,Baden-Württemberg,NA,Direkt
280,"Mack, Klaus",CDU,338,Baden-Württemberg,NA,Direkt
288,"Schreiner, Felix",CDU,336,Baden-Württemberg,NA,Direkt
273,"Whittaker, Kai Thorsten",CDU,332,Baden-Württemberg,NA,Direkt
291,"Kemmer, Ronja Helene",CDU,327,Baden-Württemberg,NA,Direkt
289,"Donth, Michael",CDU,325,Baden-Württemberg,NA,Direkt
268,"Freiherr von Stetten, Christian Alexander",CDU,321,Baden-Württemberg,NA,Direkt
285,"Weiss, Maria-Lena",CDU,315,Baden-Württemberg,NA,Direkt
294,"Müller, Axel Karl",CDU,306,Baden-Württemberg,NA,Direkt
269,"Dr. Gräßle, Ingeborg Gabriele",CDU,305,Baden-Württemberg,NA,Direkt
266,"Gramling, Fabian Benedikt Meinrad",CDU,304,Baden-Württemberg,NA,Direkt
272,"Zippelius, Nicolas Benjamin",CDU,304,Baden-Württemberg,NA,Direkt
293,"Mayer-Lay, Volker",CDU,304,Baden-Württemberg,NA,Direkt
262,"Hennrich, Michael (Mandat verzichtet)",CDU,301,Baden-Württemberg,NA,Direkt
295,"Bareiß, Thomas",CDU,301,Baden-Württemberg,NA,Direkt
260,"Biadacz, Marc Josef",CDU,297,Baden-Württemberg,NA,Direkt
278,"Gutting, Olav Steffen",CDU,296,Baden-Württemberg,NA,Direkt
265,"Bilger, Steffen Rudi",CDU,295,Baden-Württemberg,NA,Direkt
298,"Schön, Nadine",CDU,NA,Saarland,3,Liste
299,"Uhl, Markus Alexander",CDU,NA,Saarland,4,Liste
11,"Klüssendorf, Tim",SPD,341,Schleswig-Holstein,NA,Direkt
9,"Hagedorn, Bettina",SPD,337,Schleswig-Holstein,NA,Direkt
